link_id,link_name,status,match_source,road_id,road_name,score,distance_m,overlap_ratio,name_similarity,traffic,capacity,lanes,speed_limit,best_candidate_road_id,best_candidate_road_name,best_candidate_score,best_candidate_distance_m,best_candidate_overlap_ratio,best_candidate_name_similarity
L45,Ипподромская улица,matched_direct,direct,178827,ул Ипподромская,1.2164,3.36,1.0,1.0,14000.0,13800.0,6,40.0,178827,ул Ипподромская,1.2164,3.36,1.0,1.0
L47,Красный проспект,matched_direct,direct,178828,пр-кт Красный,1.055,19.5,1.0,1.0,14000.0,8800.0,4,40.0,178828,пр-кт Красный,1.055,19.5,1.0,1.0
L48,Красный проспект,matched_direct,direct,178828,пр-кт Красный,0.7866,22.06,0.6265,1.0,14000.0,8800.0,4,40.0,178828,пр-кт Красный,0.7866,22.06,0.6265,1.0
L49,Красный проспект,matched_direct,direct,178828,пр-кт Красный,0.7161,22.75,0.5286,1.0,14000.0,8800.0,4,40.0,178828,пр-кт Красный,0.7161,22.75,0.5286,1.0
L50,Красный проспект,matched_direct,direct,1414167,Старое шоссе - Бердское шоссе - ул. Большевистская - Красный проспект - пл. им. Калинина - Красный проспект - Мочищенское шоссе,1.1651,2.24,1.0,0.75,,,,,1414167,Старое шоссе - Бердское шоссе - ул. Большевистская - Красный проспект - пл. им. Калинина - Красный проспект - Мочищенское шоссе,1.1651,2.24,1.0,0.75
L52,Ипподромская улица,no_match,,,,,,,,,,,,178800,ул Кропоткина,0.1791,0.0,0.0447,-1.0
L54,дублёр Ипподромской,no_match,,,,,,,,,,,,,,,,,
L55,улица Челюскинцев,matched_direct,direct,176167,ул Челюскинцев,1.25,0.0,1.0,1.0,14000.0,13200.0,6,60.0,176167,ул Челюскинцев,1.25,0.0,1.0,1.0
L56,улица Челюскинцев,matched_direct,direct,176167,ул Челюскинцев,1.25,0.0,1.0,1.0,14000.0,13200.0,6,60.0,176167,ул Челюскинцев,1.25,0.0,1.0,1.0
L57,улица Челюскинцев,matched_direct,direct,176167,ул Челюскинцев,1.2356,1.44,1.0,1.0,14000.0,13200.0,6,60.0,176167,ул Челюскинцев,1.2356,1.44,1.0,1.0
L58,Красный проспект,matched_osm_way_group,osm_way_group,178828,пр-кт Красный,0.25,40.02,0.0,1.0,14000.0,8800.0,4,40.0,178828,пр-кт Красный,0.25,40.02,0.0,1.0
L59,Красный проспект,matched_osm_way_group,osm_way_group,178828,пр-кт Красный,0.4324,23.57,0.1047,1.0,14000.0,8800.0,4,40.0,178828,пр-кт Красный,0.4324,23.57,0.1047,1.0
L60,Красный проспект,matched_direct,direct,178828,пр-кт Красный,1.0839,16.61,1.0,1.0,14000.0,8800.0,4,40.0,178828,пр-кт Красный,1.0839,16.61,1.0,1.0
L61,Красный проспект,matched_direct,direct,178828,пр-кт Красный,1.1237,12.63,1.0,1.0,14000.0,8800.0,4,40.0,178828,пр-кт Красный,1.1237,12.63,1.0,1.0
L62,Красный проспект,matched_direct,direct,178828,пр-кт Красный,1.1422,10.78,1.0,1.0,14000.0,8800.0,4,40.0,178828,пр-кт Красный,1.1422,10.78,1.0,1.0
L63,Красный проспект,matched_direct,direct,178828,пр-кт Красный,1.1755,7.45,1.0,1.0,14000.0,8800.0,4,40.0,178828,пр-кт Красный,1.1755,7.45,1.0,1.0
L64,Красный проспект,matched_direct,direct,1414167,Старое шоссе - Бердское шоссе - ул. Большевистская - Красный проспект - пл. им. Калинина - Красный проспект - Мочищенское шоссе,1.1467,4.08,1.0,0.75,,,,,1414167,Старое шоссе - Бердское шоссе - ул. Большевистская - Красный проспект - пл. им. Калинина - Красный проспект - Мочищенское шоссе,1.1467,4.08,1.0,0.75
L65,Красный проспект,matched_direct,direct,1414167,Старое шоссе - Бердское шоссе - ул. Большевистская - Красный проспект - пл. им. Калинина - Красный проспект - Мочищенское шоссе,1.1228,6.47,1.0,0.75,,,,,1414167,Старое шоссе - Бердское шоссе - ул. Большевистская - Красный проспект - пл. им. Калинина - Красный проспект - Мочищенское шоссе,1.1228,6.47,1.0,0.75
L66,Советская улица,matched_direct,direct,178901,ул Советская,1.2397,1.03,1.0,1.0,6000.0,3600.0,2,40.0,178901,ул Советская,1.2397,1.03,1.0,1.0
L67,Советская улица,matched_direct,direct,178901,ул Советская,1.2397,1.03,1.0,1.0,6000.0,3600.0,2,40.0,178901,ул Советская,1.2397,1.03,1.0,1.0
L68,дублёр Ипподромской,no_match,,,,,,,,,,,,178053,ул Гоголя,0.1787,18.6,0.3304,-1.0
L69,дублёр Ипподромской,no_match,,,,,,,,,,,,177015,ул Крылова,0.1629,2.92,0.0646,-1.0
L70,дублёр Ипподромской,no_match,,,,,,,,,,,,178795,ул Державина,0.2092,0.0,0.0911,-1.0
L71,дублёр Ипподромской,no_match,,,,,,,,,,,,,,,,,
L72,дублёр Ипподромской,no_match,,,,,,,,,,,,,,,,,
L74,дублёр Ипподромской,no_match,,,,,,,,,,,,,,,,,
L75,дублёр Ипподромской,no_match,,,,,,,,,,,,179812,ул Достоевского,0.114,7.63,0.062,-1.0
L76,дублёр Ипподромской,no_match,,,,,,,,,,,,178796,ул Демьяна Бедного,0.4207,0.0,0.4165,-1.0
L77,дублёр Ипподромской,no_match,,,,,,,,,,,,,,,,,
L78,дублёр Ипподромской,no_match,,,,,,,,,,,,,,,,,
L79,дублёр Ипподромской,no_match,,,,,,,,,,,,,,,,,
L80,дублёр Ипподромской,no_match,,,,,,,,,,,,1414194,Ул. Писарева - ул. Железнодорожная - ул. Дмитрия Шамшурина,0.4789,0.0,0.506,-1.0
L82,улица Гоголя,matched_direct,direct,178053,ул Гоголя,1.1742,7.58,1.0,1.0,6000.0,3600.0,2,20.0,178053,ул Гоголя,1.1742,7.58,1.0,1.0
L83,улица Гоголя,matched_direct,direct,178053,ул Гоголя,1.1221,12.79,1.0,1.0,6000.0,3600.0,2,20.0,178053,ул Гоголя,1.1221,12.79,1.0,1.0
L84,улица Гоголя,matched_direct,direct,178053,ул Гоголя,1.1221,12.79,1.0,1.0,6000.0,3600.0,2,20.0,178053,ул Гоголя,1.1221,12.79,1.0,1.0
L85,улица Гоголя,matched_direct,direct,178053,ул Гоголя,1.1105,13.95,1.0,1.0,6000.0,3600.0,2,20.0,178053,ул Гоголя,1.1105,13.95,1.0,1.0
L86,Красный проспект,matched_direct,direct,178828,пр-кт Красный,1.0225,22.75,1.0,1.0,14000.0,8800.0,4,40.0,178828,пр-кт Красный,1.0225,22.75,1.0,1.0
L87,Красный проспект,no_match,,,,,,,,,,,,178828,пр-кт Красный,0.4453,24.19,0.1342,1.0
L92,Советская улица,matched_direct,direct,178901,ул Советская,1.229,2.1,1.0,1.0,6000.0,3600.0,2,40.0,178901,ул Советская,1.229,2.1,1.0,1.0
L93,Красный проспект,matched_direct,direct,178828,пр-кт Красный,1.0904,8.74,0.8888,1.0,14000.0,8800.0,4,40.0,178828,пр-кт Красный,1.0904,8.74,0.8888,1.0
L94,Красный проспект,matched_direct,direct,178828,пр-кт Красный,1.25,0.0,1.0,1.0,14000.0,8800.0,4,40.0,178828,пр-кт Красный,1.25,0.0,1.0,1.0
L95,Красный проспект,matched_direct,direct,1414167,Старое шоссе - Бердское шоссе - ул. Большевистская - Красный проспект - пл. им. Калинина - Красный проспект - Мочищенское шоссе,1.1875,0.0,1.0,0.75,,,,,1414167,Старое шоссе - Бердское шоссе - ул. Большевистская - Красный проспект - пл. им. Калинина - Красный проспект - Мочищенское шоссе,1.1875,0.0,1.0,0.75
L96,улица Крылова,matched_direct,direct,177015,ул Крылова,1.2336,1.64,1.0,1.0,3500.0,3600.0,2,60.0,177015,ул Крылова,1.2336,1.64,1.0,1.0
L97,улица Крылова,matched_direct,direct,177015,ул Крылова,1.2325,1.75,1.0,1.0,3500.0,3600.0,2,60.0,177015,ул Крылова,1.2325,1.75,1.0,1.0
L98,улица Крылова,matched_direct,direct,177015,ул Крылова,1.25,0.0,1.0,1.0,3500.0,3600.0,2,60.0,177015,ул Крылова,1.25,0.0,1.0,1.0
L99,Красный проспект,matched_direct,direct,1414167,Старое шоссе - Бердское шоссе - ул. Большевистская - Красный проспект - пл. им. Калинина - Красный проспект - Мочищенское шоссе,1.0715,11.6,1.0,0.75,,,,,1414167,Старое шоссе - Бердское шоссе - ул. Большевистская - Красный проспект - пл. им. Калинина - Красный проспект - Мочищенское шоссе,1.0715,11.6,1.0,0.75
L100,Красный проспект,matched_direct,direct,1414167,Старое шоссе - Бердское шоссе - ул. Большевистская - Красный проспект - пл. им. Калинина - Красный проспект - Мочищенское шоссе,1.0895,9.8,1.0,0.75,,,,,1414167,Старое шоссе - Бердское шоссе - ул. Большевистская - Красный проспект - пл. им. Калинина - Красный проспект - Мочищенское шоссе,1.0895,9.8,1.0,0.75
L101,Красный проспект,matched_direct,direct,1414167,Старое шоссе - Бердское шоссе - ул. Большевистская - Красный проспект - пл. им. Калинина - Красный проспект - Мочищенское шоссе,1.0896,9.79,1.0,0.75,,,,,1414167,Старое шоссе - Бердское шоссе - ул. Большевистская - Красный проспект - пл. им. Калинина - Красный проспект - Мочищенское шоссе,1.0896,9.79,1.0,0.75
L102,Красный проспект,matched_direct,direct,1414167,Старое шоссе - Бердское шоссе - ул. Большевистская - Красный проспект - пл. им. Калинина - Красный проспект - Мочищенское шоссе,1.1745,1.3,1.0,0.75,,,,,1414167,Старое шоссе - Бердское шоссе - ул. Большевистская - Красный проспект - пл. им. Калинина - Красный проспект - Мочищенское шоссе,1.1745,1.3,1.0,0.75
L103,Красный проспект,matched_direct,direct,1414167,Старое шоссе - Бердское шоссе - ул. Большевистская - Красный проспект - пл. им. Калинина - Красный проспект - Мочищенское шоссе,1.1875,0.0,1.0,0.75,,,,,1414167,Старое шоссе - Бердское шоссе - ул. Большевистская - Красный проспект - пл. им. Калинина - Красный проспект - Мочищенское шоссе,1.1875,0.0,1.0,0.75
L104,улица Гоголя,matched_direct,direct,178053,ул Гоголя,1.2056,4.44,1.0,1.0,6000.0,3600.0,2,20.0,178053,ул Гоголя,1.2056,4.44,1.0,1.0
L106,улица Гоголя,matched_direct,direct,178053,ул Гоголя,1.1983,5.17,1.0,1.0,6000.0,3600.0,2,20.0,178053,ул Гоголя,1.1983,5.17,1.0,1.0
L116,Ипподромская улица,no_match,,,,,,,,,,,,178827,ул Ипподромская,0.2665,33.35,0.0,1.0
L117,Ипподромская улица,no_match,,,,,,,,,,,,178827,ул Ипподромская,0.2767,32.33,0.0,1.0
L119,улица Писарева,matched_direct,direct,1414194,Ул. Писарева - ул. Железнодорожная - ул. Дмитрия Шамшурина,1.1875,0.0,1.0,0.75,,,,,1414194,Ул. Писарева - ул. Железнодорожная - ул. Дмитрия Шамшурина,1.1875,0.0,1.0,0.75
L121,Ипподромская улица,matched_direct,direct,178827,ул Ипподромская,1.205,4.5,1.0,1.0,14000.0,13800.0,6,40.0,178827,ул Ипподромская,1.205,4.5,1.0,1.0
L122,улица Писарева,matched_direct,direct,1414194,Ул. Писарева - ул. Железнодорожная - ул. Дмитрия Шамшурина,1.1548,3.27,1.0,0.75,,,,,1414194,Ул. Писарева - ул. Железнодорожная - ул. Дмитрия Шамшурина,1.1548,3.27,1.0,0.75
L123,улица Писарева,matched_direct,direct,1414194,Ул. Писарева - ул. Железнодорожная - ул. Дмитрия Шамшурина,1.0247,16.28,1.0,0.75,,,,,1414194,Ул. Писарева - ул. Железнодорожная - ул. Дмитрия Шамшурина,1.0247,16.28,1.0,0.75
L126,улица Гоголя,matched_direct,direct,178053,ул Гоголя,1.0579,19.21,1.0,1.0,6000.0,3600.0,2,20.0,178053,ул Гоголя,1.0579,19.21,1.0,1.0
L127,улица Гоголя,matched_direct,direct,178053,ул Гоголя,1.1148,13.52,1.0,1.0,6000.0,3600.0,2,20.0,178053,ул Гоголя,1.1148,13.52,1.0,1.0
L128,улица Гоголя,matched_direct,direct,178053,ул Гоголя,1.217,3.3,1.0,1.0,6000.0,3600.0,2,20.0,178053,ул Гоголя,1.217,3.3,1.0,1.0
L129,улица Гоголя,matched_direct,direct,178053,ул Гоголя,1.25,0.0,1.0,1.0,6000.0,3600.0,2,20.0,178053,ул Гоголя,1.25,0.0,1.0,1.0
L131,улица Гоголя,matched_direct,direct,178053,ул Гоголя,1.0756,17.44,1.0,1.0,6000.0,3600.0,2,20.0,178053,ул Гоголя,1.0756,17.44,1.0,1.0
L132,улица Гоголя,matched_direct,direct,178053,ул Гоголя,1.1159,13.41,1.0,1.0,6000.0,3600.0,2,20.0,178053,ул Гоголя,1.1159,13.41,1.0,1.0
L133,улица Гоголя,matched_direct,direct,178053,ул Гоголя,1.1159,13.41,1.0,1.0,6000.0,3600.0,2,20.0,178053,ул Гоголя,1.1159,13.41,1.0,1.0
