link_id,link_name,status,match_source,road_id,road_name,score,distance_m,overlap_ratio,name_similarity,traffic,capacity,lanes,speed_limit,best_candidate_road_id,best_candidate_road_name,best_candidate_score,best_candidate_distance_m,best_candidate_overlap_ratio,best_candidate_name_similarity
L158,OSM road 158,matched_osm_way_propagated,osm_way_propagated,179846,ул Галущака,0.1323,23.93,0.0333,0.0,4000.0,3600.0,2,60.0,179846,ул Галущака,0.1323,23.93,0.0333,0.0
L159,OSM road 159,matched_direct,direct,179846,ул Галущака,0.8413,15.87,1.0,0.0,4000.0,3600.0,2,60.0,179846,ул Галущака,0.8413,15.87,1.0,0.0
L160,OSM road 160,matched_direct,direct,179846,ул Галущака,1.0,0.0,1.0,0.0,4000.0,3600.0,2,60.0,179846,ул Галущака,1.0,0.0,1.0,0.0
L161,Нарымская улица,matched_direct,direct,177382,ул Нарымская,1.0854,16.46,1.0,1.0,14000.0,13800.0,7,40.0,177382,ул Нарымская,1.0854,16.46,1.0,1.0
L162,улица Дуси Ковальчук,matched_direct,direct,175720,ул Дуси Ковальчук,1.2134,3.66,1.0,1.0,14000.0,13800.0,6,40.0,175720,ул Дуси Ковальчук,1.2134,3.66,1.0,1.0
L163,улица Дуси Ковальчук,matched_direct,direct,175720,ул Дуси Ковальчук,1.2215,2.85,1.0,1.0,14000.0,13800.0,6,40.0,175720,ул Дуси Ковальчук,1.2215,2.85,1.0,1.0
L164,улица Вавилова,matched_direct,direct,177016,ул Вавилова,1.2376,1.24,1.0,1.0,1000.0,3600.0,2,60.0,177016,ул Вавилова,1.2376,1.24,1.0,1.0
L165,улица Вавилова,matched_direct,direct,177016,ул Вавилова,1.2397,1.03,1.0,1.0,1000.0,3600.0,2,60.0,177016,ул Вавилова,1.2397,1.03,1.0,1.0
L166,улица Вавилова,matched_direct,direct,177016,ул Вавилова,1.2428,0.72,1.0,1.0,1000.0,3600.0,2,60.0,177016,ул Вавилова,1.2428,0.72,1.0,1.0
L167,улица Вавилова,matched_direct,direct,177016,ул Вавилова,1.2434,0.66,1.0,1.0,1000.0,3600.0,2,60.0,177016,ул Вавилова,1.2434,0.66,1.0,1.0
L168,улица Вавилова,matched_direct,direct,177016,ул Вавилова,1.2459,0.41,1.0,1.0,1000.0,3600.0,2,60.0,177016,ул Вавилова,1.2459,0.41,1.0,1.0
L169,улица Вавилова,matched_direct,direct,177016,ул Вавилова,1.2474,0.26,1.0,1.0,1000.0,3600.0,2,60.0,177016,ул Вавилова,1.2474,0.26,1.0,1.0
L170,улица Вавилова,matched_direct,direct,177016,ул Вавилова,1.2487,0.13,1.0,1.0,1000.0,3600.0,2,60.0,177016,ул Вавилова,1.2487,0.13,1.0,1.0
L171,улица Вавилова,matched_direct,direct,177016,ул Вавилова,1.2485,0.15,1.0,1.0,1000.0,3600.0,2,60.0,177016,ул Вавилова,1.2485,0.15,1.0,1.0
L172,улица Вавилова,matched_direct,direct,177016,ул Вавилова,1.2463,0.37,1.0,1.0,1000.0,3600.0,2,60.0,177016,ул Вавилова,1.2463,0.37,1.0,1.0
L173,улица Вавилова,matched_direct,direct,177016,ул Вавилова,1.2435,0.65,1.0,1.0,1000.0,3600.0,2,60.0,177016,ул Вавилова,1.2435,0.65,1.0,1.0
L174,улица Вавилова,matched_direct,direct,177016,ул Вавилова,1.2422,0.78,1.0,1.0,1000.0,3600.0,2,60.0,177016,ул Вавилова,1.2422,0.78,1.0,1.0
L175,улица Вавилова,matched_direct,direct,177016,ул Вавилова,1.2391,1.09,1.0,1.0,1000.0,3600.0,2,60.0,177016,ул Вавилова,1.2391,1.09,1.0,1.0
L176,улица Вавилова,matched_direct,direct,177016,ул Вавилова,1.2385,1.15,1.0,1.0,1000.0,3600.0,2,60.0,177016,ул Вавилова,1.2385,1.15,1.0,1.0
L177,улица Вавилова,matched_direct,direct,177016,ул Вавилова,1.2356,1.44,1.0,1.0,1000.0,3600.0,2,60.0,177016,ул Вавилова,1.2356,1.44,1.0,1.0
