link_id,link_name,status,match_source,road_id,road_name,score,distance_m,overlap_ratio,name_similarity,traffic,capacity,lanes,speed_limit,best_candidate_road_id,best_candidate_road_name,best_candidate_score,best_candidate_distance_m,best_candidate_overlap_ratio,best_candidate_name_similarity
L1510,улица Дуси Ковальчук,matched_direct,direct,175720,ул Дуси Ковальчук,1.2366,1.34,1.0,1.0,14000.0,13800.0,6,40.0,175720,ул Дуси Ковальчук,1.2366,1.34,1.0,1.0
L1511,улица Дуси Ковальчук,matched_direct,direct,175720,ул Дуси Ковальчук,1.2366,1.34,1.0,1.0,14000.0,13800.0,6,40.0,175720,ул Дуси Ковальчук,1.2366,1.34,1.0,1.0
L1512,Советская улица,matched_direct,direct,178901,ул Советская,1.2464,0.36,1.0,1.0,6000.0,3600.0,2,40.0,178901,ул Советская,1.2464,0.36,1.0,1.0
L1513,Советская улица,matched_direct,direct,178901,ул Советская,1.25,0.0,1.0,1.0,6000.0,3600.0,2,40.0,178901,ул Советская,1.25,0.0,1.0,1.0
L1514,Советская улица,matched_direct,direct,178901,ул Советская,1.2398,1.02,1.0,1.0,6000.0,3600.0,2,40.0,178901,ул Советская,1.2398,1.02,1.0,1.0
L1515,Советская улица,matched_direct,direct,178901,ул Советская,1.2327,1.73,1.0,1.0,6000.0,3600.0,2,40.0,178901,ул Советская,1.2327,1.73,1.0,1.0
L1516,Советская улица,matched_direct,direct,178901,ул Советская,1.2265,2.35,1.0,1.0,6000.0,3600.0,2,40.0,178901,ул Советская,1.2265,2.35,1.0,1.0
L1517,Советская улица,matched_direct,direct,178901,ул Советская,1.2212,2.88,1.0,1.0,6000.0,3600.0,2,40.0,178901,ул Советская,1.2212,2.88,1.0,1.0
L1518,улица Ленина,matched_direct,direct,178790,ул Ленина,1.1641,8.59,1.0,1.0,6000.0,3600.0,2,60.0,178790,ул Ленина,1.1641,8.59,1.0,1.0
L1519,улица Мичурина,matched_osm_way_propagated,osm_way_propagated,175691,ул Мичурина,0.25,48.05,0.0,1.0,6000.0,3600.0,2,60.0,175691,ул Мичурина,0.25,48.05,0.0,1.0
L1520,улица Мичурина,matched_osm_way_propagated,osm_way_propagated,175691,ул Мичурина,0.5561,18.57,0.2181,1.0,6000.0,3600.0,2,60.0,175691,ул Мичурина,0.5561,18.57,0.2181,1.0
L1521,улица Мичурина,matched_direct,direct,175691,ул Мичурина,1.25,0.0,1.0,1.0,6000.0,3600.0,2,60.0,175691,ул Мичурина,1.25,0.0,1.0,1.0
L1522,улица Мичурина,matched_direct,direct,175691,ул Мичурина,1.1611,8.89,1.0,1.0,6000.0,3600.0,2,60.0,175691,ул Мичурина,1.1611,8.89,1.0,1.0
L1523,улица Мичурина,matched_direct,direct,175691,ул Мичурина,1.1486,10.14,1.0,1.0,6000.0,3600.0,2,60.0,175691,ул Мичурина,1.1486,10.14,1.0,1.0
L1524,улица Мичурина,matched_direct,direct,175691,ул Мичурина,0.954,11.87,0.7272,1.0,6000.0,3600.0,2,60.0,175691,ул Мичурина,0.954,11.87,0.7272,1.0
L1525,улица Мичурина,matched_osm_way_propagated,osm_way_propagated,175691,ул Мичурина,0.3008,29.92,0.0,1.0,6000.0,3600.0,2,60.0,175691,ул Мичурина,0.3008,29.92,0.0,1.0
L1526,улица Мичурина,matched_osm_way_propagated,osm_way_propagated,175691,ул Мичурина,0.25,50.43,0.0,1.0,6000.0,3600.0,2,60.0,175691,ул Мичурина,0.25,50.43,0.0,1.0
L1527,улица Мичурина,matched_direct,direct,175691,ул Мичурина,1.1594,9.06,1.0,1.0,6000.0,3600.0,2,60.0,175691,ул Мичурина,1.1594,9.06,1.0,1.0
